Age,Attrition,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,WorkLifeBalance,YearsAtCompany,SalaryPerYear,SatisfactionScore,DistanceIncomeRatio
41,1,2,1,2,1,2,4,2,5993,8,1,6,856.1428571428571,2.3333333333333335,0.1668613382279326
49,0,1,8,1,1,3,2,1,5130,1,3,10,466.3636363636364,2.6666666666666665,1.5594541910331385
37,1,1,2,2,4,4,3,2,2090,6,3,0,2090.0,3.3333333333333335,0.9569377990430623
33,0,1,3,4,1,4,3,1,2909,1,3,8,323.22222222222223,3.3333333333333335,1.0312822275696116
27,0,1,2,1,3,1,2,1,3468,9,3,2,1156.0,2.0,0.5767012687427913
32,0,1,2,2,1,4,4,2,3068,0,2,7,383.5,3.3333333333333335,0.651890482398957
59,0,1,3,3,3,3,1,1,2670,4,2,1,1335.0,2.0,1.1235955056179776
30,0,1,24,1,1,4,3,0,2693,1,3,1,1346.5,3.3333333333333335,8.911994058670627
38,0,1,23,3,1,4,3,2,9526,0,3,9,952.6,3.3333333333333335,2.4144446777241235
36,0,1,27,3,3,3,3,1,5237,6,2,7,654.625,2.6666666666666665,5.15562344853924
35,0,1,16,3,3,1,2,1,2426,0,3,5,404.3333333333333,2.0,6.595218466611706
29,0,1,15,2,1,4,3,2,4193,0,3,9,419.3,3.3333333333333335,3.577390889577868
31,0,1,26,1,1,1,3,0,2911,1,2,5,485.1666666666667,2.0,8.93163861216077
34,0,1,19,2,3,2,4,0,2661,0,3,2,887.0,3.0,7.140172867343104
28,1,1,24,3,1,3,3,2,2028,5,3,4,405.6,3.0,11.834319526627219
29,0,1,21,4,1,2,1,0,9980,1,3,10,907.2727272727273,2.0,2.1042084168336674
32,0,1,5,2,1,1,2,0,3298,0,2,6,471.14285714285717,1.6666666666666667,1.5160703456640388
22,0,1,16,2,3,4,4,0,2935,1,2,1,1467.5,3.3333333333333335,5.45144804088586
53,0,2,2,4,1,1,4,1,15427,2,3,25,593.3461538461538,2.6666666666666665,0.12964283399235108
38,0,1,2,3,1,4,4,2,3944,5,3,3,986.0,3.6666666666666665,0.5070993914807302
24,0,1,11,2,4,1,3,0,4011,0,2,4,802.2,2.0,2.7424582398404387
36,1,2,9,4,1,3,1,2,3407,7,3,5,567.8333333333334,2.3333333333333335,2.6416201937188144
34,0,1,7,4,1,1,2,2,11994,0,3,12,922.6153846153846,2.0,0.5836251459062864
21,0,1,15,2,1,3,4,2,1232,1,3,0,1232.0,3.3333333333333335,12.175324675324676
34,1,1,6,1,3,2,1,2,2960,2,3,4,592.0,2.0,2.027027027027027
53,0,1,5,3,4,3,3,0,19094,4,2,14,1272.9333333333334,2.6666666666666665,0.26186236514088196
32,1,1,16,1,1,2,1,2,3919,1,3,10,356.27272727272725,2.0,4.082674151569278
42,0,2,8,4,2,3,2,1,6825,0,3,9,682.5,2.6666666666666665,1.1721611721611722
44,0,1,7,4,3,1,4,1,10248,3,3,22,445.5652173913044,2.6666666666666665,0.6830601092896176
46,0,2,2,4,2,2,1,2,18947,3,2,2,6315.666666666667,1.6666666666666667,0.10555760806460127
33,0,1,2,3,3,3,4,2,2496,4,3,1,1248.0,3.3333333333333335,0.8012820512820513
44,0,1,10,4,4,4,4,1,6465,2,4,4,1293.0,4.0,1.5467904098994587
30,0,1,9,2,3,4,3,2,2206,1,3,10,200.54545454545453,3.3333333333333335,4.0797824116047146
39,1,2,5,3,5,4,4,1,2086,3,4,1,1043.0,4.0,2.3969319271332696
24,1,1,1,3,3,2,4,1,2293,2,2,2,764.3333333333334,2.6666666666666665,0.436109899694723
43,0,1,2,2,3,4,3,0,2645,1,2,5,440.8333333333333,3.0,0.7561436672967864
50,1,2,3,2,2,1,3,1,2683,1,3,3,670.75,2.3333333333333335,1.1181513231457325
35,0,2,2,3,2,4,4,1,2014,1,3,2,671.3333333333334,3.6666666666666665,0.99304865938431
36,0,1,5,4,1,2,1,1,3419,9,4,1,1709.5,2.3333333333333335,1.4624159110851125
33,0,2,1,3,1,3,1,1,5376,2,3,5,896.0,2.3333333333333335,0.18601190476190474
35,0,1,4,2,4,3,4,0,1951,1,3,1,975.5,3.3333333333333335,2.0502306509482318
27,0,1,2,4,1,4,1,0,2341,1,3,1,1170.5,2.6666666666666665,0.8543357539513028
26,1,1,25,3,1,1,3,2,2293,1,2,1,1146.5,2.0,10.902747492368077
27,0,2,8,3,1,4,3,2,8726,1,3,9,872.6,3.3333333333333335,0.9168003667201466
30,0,1,1,2,3,3,4,2,4011,1,3,12,308.53846153846155,3.3333333333333335,0.2493143854400399
41,1,1,12,3,5,2,3,1,19545,1,3,22,849.7826086956521,2.6666666666666665,0.6139677666922486
34,0,2,23,4,2,2,3,2,4568,0,3,9,456.8,2.6666666666666665,5.035026269702277
37,0,1,19,2,1,2,2,1,3022,4,3,1,1511.0,2.3333333333333335,6.287227001985441
46,0,2,5,4,2,1,4,2,5772,4,3,9,577.2,2.6666666666666665,0.8662508662508662
35,0,1,8,1,1,4,4,1,2269,1,3,1,1134.5,3.6666666666666665,3.525782282944028
48,1,1,1,2,1,1,3,2,5381,9,3,1,2690.5,2.3333333333333335,0.1858390633711206
28,1,1,5,4,5,3,3,2,3441,1,2,2,1147.0,2.6666666666666665,1.4530659691950014
44,0,2,1,5,2,2,1,0,5454,5,2,4,1090.8,1.6666666666666667,0.18335166850018336
35,0,1,11,2,3,3,1,1,9884,2,3,4,1976.8,2.3333333333333335,1.112909753136382
26,0,2,23,3,2,3,4,1,4157,7,2,2,1385.6666666666667,3.0,5.532836179937455
33,0,1,1,2,1,1,4,2,13458,1,3,15,841.125,2.6666666666666665,0.0743052459503641
35,0,2,18,5,1,2,1,1,9069,1,2,9,906.9,1.6666666666666667,1.9847833278200462
35,0,1,23,4,3,3,1,1,4014,3,3,2,1338.0,2.3333333333333335,5.7299451918286
31,0,1,7,4,1,4,4,0,5915,3,2,7,739.375,3.3333333333333335,1.183431952662722
37,0,1,1,4,1,1,3,0,5993,1,4,7,749.125,2.6666666666666665,0.1668613382279326
32,0,1,1,3,3,1,4,1,6162,1,3,9,616.2,2.6666666666666665,0.16228497241155468
38,0,1,29,5,1,4,4,2,2406,1,3,10,218.72727272727272,3.6666666666666665,12.053200332502078
50,0,1,7,2,3,2,3,0,18740,5,2,27,669.2857142857143,2.3333333333333335,0.37353255069370334
59,0,2,25,3,1,1,1,2,7637,7,2,21,347.1363636363636,1.3333333333333333,3.2735367290821005
36,0,1,8,3,5,3,3,0,10096,1,3,17,560.8888888888889,3.0,0.7923930269413629
55,0,1,8,3,3,4,3,0,14756,2,3,5,2459.3333333333335,3.3333333333333335,0.5421523448088913
